"file","count"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\testing\\bloc\\audio_event.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\matchdetail\\matchStatistics\\match_statistics_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\artist.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\favourite_player\\favouriteplayer_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\matches_page_highlights_page\\bloc\\highlights_page_event.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\services\\firebase_auth_helpers.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\transfer_news\\top_transfer\\transfer\\transfer_model.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\components\\routenames.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\payment_bloc\\payment_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\widgets\\timer.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\knockout\\knockout_widget.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\functions\\localised_player_name.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\Standing\\fullForm_titles.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\core\\network\\api_manager.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\video\\video_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\widgets\\polles.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\players\\player_profile\\player_profile_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\waiting_modal.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\quiz_bloc\\quiz_bloc.dart","2"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\video\\videoState.dart","2"
